Investigator: 
Recording Name: 20260505 KOLF EGC BUMP d40
Description: 

IBI Coefficient of Variation - Avg,,,,1.365214,,,,,,0.983618,1.65068,0.835007
IBI Coefficient of Variation - Std,,,,,,,,,,,0.036442,
Burst Percentage - Avg,0,0,0,26.753507,0,0,0,0,0.017627,0.388236,0.249718,1.259034
Burst Percentage - Std,0,,0,,0,0,0,0,0.098145,2.218725,1.094281,7.554206
Number of Network Bursts,0,0,0,0,0,0,0,0,0,0,0,0
Network Burst Frequency (Hz),,,,,,,,,,,,
Network Burst Duration - Avg (sec),,,,,,,,,,,,
Network Burst Duration - Std (sec),,,,,,,,,,,,
Number of Spikes per Network Burst - Avg,,,,,,,,,,,,
Number of Spikes per Network Burst - Std,,,,,,,,,,,,
Number of Elecs Participating in Burst - Avg,,,,,,,,,,,,
Number of Elecs Participating in Burst - Std,,,,,,,,,,,,
Number of Spikes per Network Burst per Channel - Avg,,,,,,,,,,,,
Number of Spikes per Network Burst per Channel - Std,,,,,,,,,,,,
Network Burst Percentage,,,,,,,,,,,,
Network IBI Coefficient of Variation,,,,,,,,,,,,
Network ISI Coefficient of Variation,1.238346,,,2.204605,1.295808,1.327165,,,1.136589,1.036083,1.110049,1.084018
Network Normalized Duration IQR,,,,,,,,,,,,

